conductivity,temperature,turbidity,total_dissolved_solids
91,61,13,13
80,92,21,52
58,21,62,48
14,40,14,50
27,93,74,96
88,52,23,68
20,8,99,62
66,80,44,39
44,38,25,88
72,18,91,18
21,85,67,59
20,87,59,100
40,89,18,20
4,20,58,52
48,62,55,71
0,73,22,44
73,92,64,48
78,94,94,24
23,82,12,35
65,42,65,66
60,54,42,13
56,59,59,81
28,28,20,68
18,25,48,78
62,10,23,43
19,39,48,0
96,13,10,83
83,45,56,66
27,68,67,32
70,36,45,17
82,31,63,45
17,57,61,46
0,17,2,23
80,56,36,30
13,98,20,86
85,21,66,5
86,66,50,80
86,39,73,97
84,46,38,90
61,39,17,70
44,64,46,7
52,85,42,33
16,91,53,68
91,40,95,98
72,69,77,46
93,1,5,91
74,3,60,53
73,60,51,17
66,88,41,61
10,35,94,4
84,96,66,68
8,0,71,10
75,99,91,39
53,35,93,77
36,3,67,69
1,7,77,66
52,66,1,82
25,16,33,20
62,59,93,70
58,55,68,92
28,21,72,69
13,1,88,98
95,31,89,33
38,97,39,72
5,12,32,10
41,19,89,60
39,65,72,100
22,91,12,91
50,80,9,72
72,88,12,38
31,48,55,23
45,44,80,82
45,5,36,70
63,82,38,79
95,53,60,55
45,68,76,87
34,37,83,56
73,68,22,41
30,40,75,6
31,10,30,75
91,31,69,15
18,63,29,47
84,53,72,52
12,77,59,67
95,7,49,99
56,22,47,95
44,77,95,88
66,31,11,56
14,89,41,91
71,37,61,62
32,66,76,15
48,22,54,32
90,59,54,55
27,75,87,65
25,86,76,68
73,71,60,66
5,64,21,87
5,18,53,68
92,99,28,5
88,32,65,30
93,12,95,63
70,10,29,100
66,44,26,32
95,74,59,53
90,59,74,91
15,69,61,78
29,95,54,71
72,15,68,35
22,9,78,89
56,12,35,30
94,2,76,83
79,20,17,40
77,0,44,44
68,14,94,16
27,0,27,23
63,58,73,71
88,58,47,93
34,33,35,37
61,96,79,4
99,25,47,68
59,60,26,96
33,93,37,45
5,17,27,60
98,5,77,22
37,46,0,78
32,6,24,58
100,57,20,38
14,36,48,3
97,79,58,78
72,90,34,31
70,14,91,31
55,85,44,30
34,87,3,92
15,19,58,3
89,25,62,8
41,16,17,11
73,73,62,35
78,50,52,31
85,11,52,7
75,57,34,43
5,46,65,90
75,18,60,27
15,59,90,78
16,29,93,8
37,47,27,53
80,67,47,49
60,11,48,43
60,36,62,34
65,10,65,91
43,100,40,36
95,92,0,5
98,8,51,26
68,11,53,48
33,12,5,42
69,69,73,33
86,79,71,97
66,22,4,24
81,10,6,68
85,92,54,26
72,73,46,18
69,78,79,5
58,77,27,78
13,63,20,3
18,99,40,47
0,8,94,72
35,18,5,97
58,35,20,2
4,30,42,84
25,16,58,85
74,59,56,71
31,1,10,78
82,0,13,11
43,55,65,38
57,8,54,71
21,94,47,66
28,97,8,99
44,37,19,60
88,22,25,6
6,20,51,14
68,55,45,35
91,57,1,14
0,39,90,60
58,0,42,10
83,53,78,69
15,64,21,60
33,17,82,19
45,3,16,97
16,7,95,65
56,10,25,69
75,7,2,49
28,86,89,16
23,28,40,53
67,74,85,26
98,89,9,93
51,51,26,67
54,19,97,53
61,26,14,8
21,13,8,25
5,75,36,39
25,42,80,94
98,23,96,23
3,68,29,31
85,82,15,10
30,23,31,65
36,47,73,88
51,85,100,0
58,91,0,75
79,68,0,9
16,55,23,12
74,95,32,61
78,46,97,92
97,36,97,11
64,81,45,97
73,0,84,0
54,26,74,56
12,47,28,95
29,72,30,32
36,65,95,52
44,24,100,25
42,19,27,62
21,54,90,92
37,86,47,47
38,31,70,38
3,91,25,71
14,79,71,96
61,92,68,79
10,42,85,24
76,8,69,87
72,32,55,42
31,3,63,73
84,87,33,3
84,97,60,58
98,70,52,54
28,44,66,25
54,64,41,8
50,59,92,70
49,28,44,88
99,55,79,83
25,94,57,94
95,22,25,40
83,100,80,19
58,48,99,10
95,44,31,0
45,47,80,45
53,79,87,41
66,32,4,33
54,51,58,0
39,58,60,18
65,48,90,50
42,86,78,11
33,11,16,73
38,97,62,53
39,57,81,46
74,22,30,54
20,9,69,8
18,91,21,87
33,19,60,69
41,19,29,73
3,91,9,21
52,83,48,58
59,59,91,29
85,76,10,93
81,81,98,22
79,69,69,83
14,13,37,21
27,90,53,67
29,49,99,64
83,49,69,68
13,45,27,68
97,71,78,19
55,6,90,69
36,37,41,99
94,85,77,88
84,38,45,88
4,26,17,58
35,31,97,11
80,77,83,89
27,27,67,94
79,51,97,50
26,61,15,38
1,81,42,1
17,72,56,95
43,21,53,27
65,99,31,16
74,5,87,99
77,16,39,74
80,12,35,62
74,9,12,65
55,99,1,2
98,29,93,35
53,2,23,60
60,45,12,57
76,40,39,15
99,70,62,27
43,58,44,12
77,71,19,54
2,9,33,34
43,59,38,99
100,30,76,73
83,82,76,6
90,12,59,27
57,13,82,74
30,93,48,92
78,72,56,97
65,36,10,35
65,72,74,84
3,28,42,44
41,56,15,27
80,83,73,30
89,51,35,22
37,33,7,18
13,98,20,8
25,36,63,88
74,4,55,5
34,66,0,59
42,73,84,22
86,97,78,72
62,0,72,17
60,4,97,92
71,29,51,42
78,32,45,5
18,44,83,32
82,60,9,46
74,2,33,75
50,8,52,65
99,0,56,32
72,39,75,54
78,5,20,33
82,100,74,47
35,8,40,51
22,67,32,34
36,40,56,28
88,90,27,45
6,78,65,3
10,14,99,77
72,14,6,78
86,34,23,41
58,47,7,59
43,72,87,40
0,39,84,63
72,68,16,12
95,82,23,1
48,50,97,48
97,11,25,0
60,5,92,30
55,93,26,90
96,0,63,90
26,99,93,48
68,14,44,93
55,50,25,89
91,38,46,4
64,34,12,92
75,72,84,89
38,76,14,30
74,21,100,58
78,11,95,7
36,83,59,65
37,83,97,6
30,55,86,12
30,31,23,75
68,59,14,58
4,80,14,92
12,57,99,13
23,51,35,68
64,53,18,40
21,58,8,1
32,76,32,100
88,34,93,59
90,19,24,5
19,13,100,24
10,7,94,0
87,79,2,51
58,46,72,80
73,2,44,78
10,30,31,90
95,70,59,73
90,81,65,9
94,57,62,71
15,69,86,90
70,25,27,63
1,83,38,91
35,2,45,69
70,70,80,32
60,86,34,23
47,30,69,77
30,13,12,33
34,39,9,92
55,20,20,98
43,68,75,98
50,4,29,66
93,18,74,97
78,61,54,68
67,64,44,42
91,76,61,86
64,88,83,59
87,5,32,69
1,86,45,63
85,86,65,2
78,72,91,60
50,77,92,27
87,36,85,41
6,16,78,14
74,57,78,27
0,41,67,95
78,52,14,72
54,81,10,100
35,4,70,97
55,97,26,78
65,38,80,41
90,91,51,77
28,73,74,97
22,62,9,12
25,4,11,29
67,81,27,49
98,32,37,50
67,47,37,13
30,66,65,57
100,67,15,88
94,42,79,48
70,94,52,100
28,35,17,59
38,43,63,61
41,44,53,9
83,40,82,16
36,38,23,26
80,33,93,15
76,45,71,35
66,33,12,7
0,76,63,90
47,7,30,18
51,30,31,15
78,43,2,29
100,47,38,14
97,41,56,10
10,28,75,57
92,83,10,0
71,82,22,86
43,63,48,79
47,95,26,40
76,84,59,24
65,12,21,51
77,95,43,69
11,78,35,89
99,72,43,4
51,52,20,36
62,91,17,29
7,99,16,96
5,100,56,67
27,27,30,9
34,7,63,60
61,96,56,9
6,73,37,5
65,60,89,14
83,58,95,43
58,5,30,38
59,46,71,68
98,64,21,84
0,55,47,16
57,21,51,25
92,11,61,45
81,73,54,96
15,21,44,99
20,48,22,25
17,60,25,88
12,89,47,95
87,26,36,95
73,52,98,98
54,56,10,52
17,64,93,27
62,90,8,71
23,65,49,46
47,19,38,9
