conductivity,temperature,turbidity,total_dissolved_solids,water_quality_rating
564.3086542,26,2.963135381,20791.31898,0
592.8853591,26,4.500656275,18630.05786,0
418.6062131,29,3.05593375,19909.54173,0
363.2665162,32,4.628770537,22018.41744,0
398.4108134,28,4.075075425,17978.98634,0
280.4679159,28,2.559708228,28748.68774,0
283.6516335,31,2.672988737,28749.71654,0
474.6076449,31,4.401424715,13672.09176,0
389.3755659,31,3.595017181,14285.58385,0
563.8854815,34,4.370561937,25484.50849,0
425.3834195,30,3.662291783,32452.61441,0
364.0982305,33,4.011718108,18767.65668,0
347.7150273,26,3.445756223,18730.81365,0
379.7618348,31,4.413974183,27331.36196,0
444.6453523,28,4.777382337,28388.00489,0
516.7432819,34,4.376348291,41065.23476,0
315.1412672,32,4.268428858,30980.60079,0
477.9746419,31,4.503660796,24041.32628,0
431.44399,34,2.43608559,19460.39813,0
469.9145515,27,2.560299148,25630.32004,0
554.8200865,34,4.133422644,22305.56741,0
523.6712975,33,3.749701241,30944.36359,0
436.256194,33,5.459250956,17107.22423,0
444.4788825,33,4.528522696,21167.5001,0
472.8740733,29,4.82478639,17266.59342,0
413.2904501,28,5.200885077,21218.70287,0
441.7858757,28,4.184396969,33424.76868,0
298.9906665,33,4.004871128,13224.93564,0
364.4801067,31,3.991564248,26362.96501,0
563.8047433,27,6.038184953,15193.41347,0
342.1112863,32,5.088859989,15196.22999,0
452.8362349,29,2.857472426,19677.89247,0
412.9868338,28,5.057310517,22326.89205,0
411.9833642,32,3.160624468,32555.85254,0
383.981723,29,5.029166724,14787.20626,0
441.7483793,31,3.902088768,19620.54533,0
456.8600959,32,3.464353035,24752.07246,0
399.4715663,27,2.896546941,17281.97517,0
427.1306715,31,2.907563915,19942.27322,0
396.8769491,27,4.324004646,24683.72357,0
349.3996325,30,3.510004045,11703.92391,0
335.1203984,28,4.434820258,16658.8765,0
332.0327063,30,5.182590704,28780.34043,0
333.1924699,30,4.69070723,9973.934059,0
403.9441682,33,4.542801462,21568.42878,0
504.6382604,29,4.137739016,35606.44018,0
391.1843151,29,3.195710328,10575.18628,0
323.8079132,32,3.999775382,15758.74062,0
470.3291685,31,4.405586,34415.85315,0
404.7177992,28,3.626135442,21536.22469,0
383.79502,27,3.048057223,27492.30731,0
605.2201244,32,2.447444464,12013.55063,0
545.9749938,33,3.742090426,19871.78845,0
527.70891,30,3.794531591,11920.61084,0
456.5564021,30,3.96468635,21783.65103,0
404.6707773,28,4.781188177,30616.61515,0
481.3188027,30,3.94060453,28779.65001,0
405.330482,29,4.460683932,24323.8659,0
360.9959945,33,4.405385706,16963.62501,0
290.1809831,29,4.08990769,20557.24043,0
269.4490512,29,3.902879712,32144.79993,0
369.3381209,31,3.923749169,20965.47831,0
296.3975472,34,3.855602212,35729.69271,0
398.345418,27,4.477960248,24656.23968,0
416.2396301,32,4.068688909,32653.91036,0
362.1080043,32,5.215689206,21815.07415,0
669.7250862,34,5.106655774,34873.93452,0
485.9745005,27,4.620793452,27420.16742,0
333.329848,34,3.439740042,12830.48413,0
501.1827807,29,3.636364183,24964.7777,0
428.0363444,27,3.884891044,6743.346066,0
504.378681,26,4.157533407,33223.58153,0
556.65371,31,5.325833446,19460.38282,0
352.9425881,29,3.873470298,22984.05095,0
425.2135748,28,4.655916599,14859.46642,0
383.0143102,30,5.02278363,25650.77764,0
307.379142,34,3.762615331,23029.66361,0
467.5629729,31,3.662837732,37962.16799,0
477.5813462,27,2.293431406,24468.04839,0
425.9134002,29,3.50837265,31903.39981,0
410.3872638,34,5.013463351,28689.59578,0
443.5703721,29,3.75899586,12531.60192,0
504.1459941,32,3.772420928,9566.12227,0
514.1189201,34,2.994671096,27267.98186,0
573.4002951,29,4.191217515,23827.27502,0
417.241656,26,3.612519615,13116.70771,0
465.4137746,30,4.916579161,27159.38435,0
430.5077069,28,3.385508444,21470.27831,0
487.459131,28,5.00246726,12652.36298,0
506.9383527,28,2.555026904,28608.05208,0
575.1146944,31,4.383921814,17153.30616,0
420.7095912,28,3.355164642,29721.91163,0
291.1048366,33,3.172789769,20416.841,0
588.3196505,34,2.019042018,27965.07215,0
551.1433372,32,3.651865808,11609.10905,0
548.0727613,26,5.359460295,26687.87448,0
333.0507859,34,4.764508265,23873.37821,0
441.3311375,30,5.066786272,21485.1532,0
418.4332899,27,3.710053126,24627.86756,0
426.9943932,34,3.108769988,20868.33122,0
349.5189104,26,3.763905903,24405.25053,0
